patient_14_Primary_ATACseq_REP1.mLb.clN.sorted.bam	patient_21_Remission_ATACseq_REP1.mLb.clN.sorted.bam	patient_12_Primary_ATACseq_REP1.mLb.clN.sorted.bam	patient_31_Relapse_ATACseq_REP1.mLb.clN.sorted.bam	patient_6_Healthy_ATACseq_REP1.mLb.clN.sorted.bam	patient_10_Primary_ATACseq_REP1.mLb.clN.sorted.bam	patient_13_Primary_ATACseq_REP1.mLb.clN.sorted.bam	patient_28_Relapse_ATACseq_REP1.mLb.clN.sorted.bam	patient_29_Relapse_ATACseq_REP1.mLb.clN.sorted.bam	patient_33_Relapse_ATACseq_REP1.mLb.clN.sorted.bam	patient_11_Primary_ATACseq_REP1.mLb.clN.sorted.bam	patient_22_Remission_ATACseq_REP1.mLb.clN.sorted.bam	patient_18_Remission_ATACseq_REP1.mLb.clN.sorted.bam	patient_9_Healthy_ATACseq_REP1.mLb.clN.sorted.bam	patient_32_Relapse_ATACseq_REP1.mLb.clN.sorted.bam	patient_27_Relapse_ATACseq_REP1.mLb.clN.sorted.bam	patient_16_Primary_ATACseq_REP1.mLb.clN.sorted.bam	patient_30_Relapse_ATACseq_REP1.mLb.clN.sorted.bam	patient_26_Remission_ATACseq_REP1.mLb.clN.sorted.bam	patient_7_Primary_ATACseq_REP1.mLb.clN.sorted.bam	patient_4_Healthy_ATACseq_REP1.mLb.clN.sorted.bam	patient_14_Relapse_ATACseq_REP1.mLb.clN.sorted.bam	patient_7_Healthy_ATACseq_REP1.mLb.clN.sorted.bam	patient_20_Remission_ATACseq_REP1.mLb.clN.sorted.bam	patient_26_Primary_ATACseq_REP1.mLb.clN.sorted.bam	patient_25_Remission_ATACseq_REP1.mLb.clN.sorted.bam	patient_23_Remission_ATACseq_REP1.mLb.clN.sorted.bam	patient_24_Remission_ATACseq_REP1.mLb.clN.sorted.bam	patient_17_Primary_ATACseq_REP1.mLb.clN.sorted.bam	patient_27_Primary_ATACseq_REP1.mLb.clN.sorted.bam	patient_5_Healthy_ATACseq_REP1.mLb.clN.sorted.bam	patient_8_Healthy_ATACseq_REP1.mLb.clN.sorted.bam	patient_19_Primary_ATACseq_REP1.mLb.clN.sorted.bam
chr5-37865190-37865418	0.604883641503929	1.29075721531129	0.285453999543076	-0.959701924867889	0.147468391148668	0.0663110217047001	0.00522757138747414	0.0557931156001645	0.0342966256169221	0.0129123511793248	0.840177506802216	1.49056282703128	-0.0418932846106548	0.618568199964502	-0.0307256156098377	0.630922425553906	2.25493675811332	0.970760191660791	-0.0595478016228358	0.0258297828965667	2.28833496383305	1.66583285595124	-0.959701924867889	0.658133336091162	-0.0567101181446219	-0.0544840263845686	-0.959701924867889	1.08945749376467	-0.959701924867889	0.640940799068283	1.54242904070138	0.0728465301368592	-0.959701924867889
chr6-74802662-74802868	-0.959701924867892	1.29075721531129	0.285453999543076	-0.959701924867889	1.19820881017303	1.40362468434491	-0.959701924867889	1.06347867114559	0.617253082458535	1.57932456829074	0.20441215696382	-0.0390025380683684	0.915185681411776	0.0352817058965812	-0.0307256156098377	0.630922425553906	1.40253033211939	0.970760191660791	0.490535775293711	1.0185408588969	1.1064803167084	-0.959701924867889	0.0705741419252962	1.40158454535956	1.86599791782131	1.20743416963359	1.11435685754781	-0.1240511351094	0.080946272497839	0.931864476390574	1.95319745150483	-0.959701924867889	0.342176367635509
chr17-79294087-79294222	-0.959701924867892	0.212005054712746	-0.959701924867889	0.393396029524379	0.76645534182717	-0.959701924867889	1.30569671593484	-0.959701924867889	0.617253082458535	0.588629525011598	-0.959701924867889	0.919650304490485	0.514597539633483	1.03276696520733	1.91361359849572	0.0445465441605135	0.951453514957486	1.5477852305175	0.490535775293711	0.0258297828965667	2.11722142712662	0.882498627677571	-0.959701924867889	1.88978202132439	0.494410547114062	-0.959701924867889	0.589433785106591	0.401686799683774	-0.959701924867889	-0.213307760837588	0.965967004756957	1.08884946562146	0.342176367635509
chr6-36921672-36924183	4.21991475455746	6.39663129142897	5.93339313066989	5.33914052943755	4.76659028846825	6.29119094443954	5.61386717518375	5.17920588354304	5.59825284860182	7.09894237819004	6.46867396368332	4.68752054060859	5.60056310911189	4.91306181048065	5.41980007090042	5.07102019897833	4.8174939222029	5.89011505685305	4.61858255786682	6.51122311087427	4.85419933563109	4.80676110310494	5.03000256651846	4.78884286303676	6.34826477293013	5.25592806995683	4.69692947509968	4.69661424268294	6.30977076164674	5.58182642183969	4.5571350242174	4.27285179103179	4.86529175029038
chr2-218874126-218874234	0.604883641503929	-0.959701924867889	2.01339657657558	1.07915630047966	1.19820881017303	2.40871695973681	2.78182823222398	0.64588386650576	0.617253082458535	1.31815596113266	3.03047852791661	1.23316484250006	1.89323662119955	0.618568199964502	0.932406812798761	2.36986442931193	3.05697811716931	1.76790176130246	1.67200587496034	1.6010655117378	0.0847551691362964	0.485871250673602	0.665489099693847	1.07722776024422	0.494410547114062	1.87010529933822	1.49841090110365	0.786174620659213	0.080946272497839	1.99931636455354	0.965967004756957	-0.959701924867889	-0.959701924867889
chr6-158035121-158037179	4.21991475455746	3.34712264403406	2.62086976422698	2.94636212137212	6.09103792385954	3.89740792649884	4.36333276979104	4.68521079352287	2.02977909796005	4.91665792797426	3.42263954474125	5.57918345382036	3.87655286711761	5.78522871527789	4.02822985446115	4.33396782961388	2.45495551865126	3.99413333213218	3.79454211856287	4.53541539490093	5.19270344120211	4.44523672035665	5.69953541858991	5.17608424831908	3.65432315067309	3.97934263370513	4.39124194494652	4.28362858791933	4.61059934690958	3.81778045646758	4.03081850361186	4.23215977400275	5.22634961923932
chr5-63925253-63925667	-0.959701924867892	0.84994370792562	-0.959701924867889	0.393396029524379	0.147468391148668	1.66835851322365	0.00522757138747414	0.64588386650576	1.35261183075046	1.31815596113266	-0.959701924867889	1.23316484250006	1.70374764223267	-0.959701924867889	2.08143527276888	1.63233442291928	0.951453514957486	0.56361672253097	0.887812414544846	2.18440048894645	1.69861243583288	2.02120820160047	1.67537336966291	1.40158454535956	0.892224706720627	1.20743416963359	0.589433785106591	1.33992652015179	-0.959701924867889	2.52106982530056	1.76238352998623	1.41395695604505	1.01519197987181
chr17-64832769-64833481	-0.959701924867892	0.84994370792562	0.285453999543076	1.07915630047966	2.5497460756982	2.08551748008987	1.30569671593484	2.76921527545874	1.03128651281282	1.31815596113266	1.27996094645422	2.0660820793335	1.48555264130035	1.3541915855197	1.91361359849572	2.04772470571495	2.25493675811332	1.5477852305175	2.65635570816718	2.5986235374392	1.92304679225124	2.54393440554505	1.41036751998416	2.25388905397035	2.31819324734235	0.895682674910482	1.80142441417049	0.786174620659213	-0.959701924867889	2.11985387796062	2.94677003863989	1.90300881911443	-0.959701924867889
chr13-85456180-85457280	-0.959701924867892	2.32857778105404	1.39399544897281	3.2182645339009	1.79969581458592	4.41252440530862	3.82977212383384	2.97597943293881	3.1988659656336	3.37999615637601	4.62995113272482	2.47637467353849	1.22837418300555	2.03150794917231	1.50486774423949	3.21823748804972	3.17506215111504	1.5477852305175	2.02764127551708	4.05649901756671	2.11722142712662	2.30611759958299	2.09287139136846	2.4064296944616	1.67712884102171	0.895682674910482	2.53525478986218	2.42101961085036	3.28606594215017	3.781689372127	2.40912675885466	1.08884946562146	2.09817862207492
chr15-77407327-77407494	-0.959701924867892	-0.959701924867889	-0.959701924867889	-0.959701924867889	-0.959701924867889	0.0663110217047001	-0.959701924867889	0.0557931156001645	-0.959701924867889	-0.959701924867889	-0.959701924867889	0.919650304490485	-0.0418932846106548	-0.959701924867889	-0.0307256156098377	0.0445465441605135	-0.959701924867889	-0.959701924867889	1.19897808389264	0.0258297828965667	2.28833496383305	0.485871250673602	-0.959701924867889	0.658133336091162	-0.959701924867889	0.497448261988062	0.232036612632031	0.401686799683774	0.080946272497839	0.276141094924757	0.965967004756957	1.08884946562146	0.342176367635509
