peaks	t11_5	t12_5	t13_5	t14_5	t15_5	t16_5
chr1-3514639-3515631	3.742731606929037	3.6151501631616663	3.5371423680178067	3.449023285979976	3.9439394637090786	4.432226645906518
chr1-3670720-3672162	4.435660864645987	3.190766433342608	2.7452210610867276	2.865949152546217	3.033117117101823	3.000217894429507
chr1-4479403-4480017	1.2921855200961498	1.4262154293381806	1.6177656571263606	1.602387075640092	2.295283845357675	3.0161200621030932
chr1-4571226-4572264	3.9617791226346695	2.8640070042099293	2.898920466583182	2.6902506081793813	3.0375792783706204	2.9529836545294392
chr1-4623319-4623660	2.0788616479917263	1.3490748627186855	1.4333274190602312	1.0985370972547992	0.7499183864758789	0.7128072404780106
chr1-5082561-5083765	5.393009331084789	5.057495326751953	4.717053441720566	4.797909823484508	4.422215717718684	4.495299038362894
chr1-5588191-5588815	2.898977476433918	1.699399123694494	1.311143179761248	0.9549826251329299	0.7618914498914949	1.1133942602749594
chr1-6593066-6593386	2.2859715990227634	0.7499598397991218	-0.22968954410606432	0.1043580581866686	-0.037498120463064784	-0.8488079946159515
chr1-7405715-7406067	2.2694461113490125	2.0750783494864247	1.477293108005255	1.383895891802668	0.13684181167929416	0.4945513597804886
chr1-7777248-7777679	2.3889911780692508	0.8774169616250378	0.7867814859017832	-0.25261322443068657	0.8699023600029301	1.1256731117081957
chr1-9564459-9564880	1.290685325534118	1.030462343084765	0.9118453567537486	1.0830879800504123	2.3025490141325817	2.7593124068584065
chr1-9584716-9585152	1.7553463421201232	0.7566774324896823	0.7740664225082623	1.1709905812204888	1.7579240617120087	2.715590557949078
chr1-9631560-9631925	1.4360253590862508	1.2800068842599908	1.8832767545184528	1.7163644253580586	1.9171457291660254	3.2514977491662513
chr1-9716932-9717317	2.891978339390678	2.124729924849726	2.65852933024893	2.179420851702336	1.4541674292524032	0.9630015786305969
chr1-9755685-9755940	1.2495404347281118	1.1440850895492751	0.821428204494861	0.8492209604398004	1.7504115100171713	2.0197175932799443
chr1-9883131-9883727	2.932547702839468	2.192653948697627	2.068615858239582	1.7515127917138078	1.470679196838486	0.5273545618493739
chr1-9947592-9947995	2.475266819828713	1.9881325907574556	2.2904691175129788	1.9097210872814097	2.375851393337159	3.256031168466511
chr1-9966988-9968368	4.004482738170356	3.632615153234787	3.421293764399336	3.2525969007216626	3.872594974841393	4.2960234639925545
chr1-9981674-9982033	1.632343444643995	1.3774278199293746	1.2513500815126555	0.6428501685777998	2.239424554563082	3.049039241216956
chr1-10008686-10009335	3.027007078003596	2.165755250356651	1.8631106036625265	1.8531932006626282	1.6936235193096065	1.1923360539123284
chr1-10072346-10072703	2.0578610173120464	1.0104683816956508	0.5010443898282471	-0.030706755350704773	-0.7708216919475379	-0.6686032484061294
chr1-10109026-10109484	3.524631549037387	3.1253483692852946	2.910875876484174	2.982023162494882	2.365861552604425	2.5212542396045636
chr1-10114054-10114455	2.5290953988572578	1.815146633762791	1.8367848146501382	2.1079641957302417	1.3628140844344945	1.284041045680374
chr1-10247953-10248203	0.201063469155717	0.42665143422864393	0.09437183332972758	0.3880829951841126	0.6963524351049147	1.779665542885632
chr1-10325098-10326297	4.014184895696925	3.4521513011993585	3.020968940641227	3.3090230138463994	2.7468927189614014	2.717038037136332
chr1-11329327-11329836	2.682250522503368	1.0456635627978015	0.6420603397803719	0.43980186500899654	0.11958817065392865	0.3279619632376851
chr1-13154338-13155206	4.406739396167755	3.5229644041906614	3.378693379229146	3.276973585749539	2.695912022440751	2.6403534866253677
chr1-13241325-13241711	1.77872261377955	1.2278457138513308	1.9346466839359295	1.3597695890227917	2.0122631727935993	2.712763101107741
